customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,churned
5859-MIOMA,Female,1,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,39.13,1457.25,1
9006-IXALH,Male,0,No,Yes,23,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,83.5,1864.56,0
6258-SQHCC,Female,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.77,1478.4,1
6892-JGZIG,Male,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,90.38,5301.72,1
9392-HLBAP,Male,1,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,50.83,2792.49,0
3454-XECLH,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,85.84,1387.56,1
9154-CACEO,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,73.84,2904.86,1
4840-EZWNG,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,40.92,164.42,0
7938-IOOZJ,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),72.23,2366.91,1
8035-MSGQT,Female,1,Yes,No,44,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,34.22,1405.8,1
6116-DEWGM,Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,119.21,2211.86,0
2678-KDMGS,Female,0,Yes,No,47,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.83,3893.31,0
4157-BJMYU,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,70.09,4936.06,1
3693-LLTKZ,Female,0,Yes,Yes,42,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),111.69,4734.46,0
6592-GAAYY,Male,0,Yes,No,26,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),48.62,1143.11,1
6864-CGFHI,Male,0,Yes,Yes,49,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,41.28,2169.45,1
5413-EASJL,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),82.93,5878.76,0
1663-OVXIT,Female,0,Yes,No,18,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.57,1989.4,1
6232-QZTLG,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),84.29,976.64,1
8554-QEQXQ,Male,0,Yes,Yes,66,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),20.22,1363.55,1
1698-QBBVW,Male,1,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,105.99,6463.55,1
9164-AASBU,Female,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),48.33,1648.98,0
2707-ZFWDW,Female,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,106.65,4998.29,0
1202-XQFXE,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),118.12,3380.14,1
3931-BFVKP,Male,0,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),84.44,5281.81,1
7287-AIFPC,Male,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),46.63,707.65,1
1659-DSZCS,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),41.04,411.7,0
3911-GTIAH,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),89.86,5940.47,1
6759-GRHAK,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),23.48,11.43,1
9155-YYRWJ,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),84.32,727.24,1
1262-PZPYT,Male,0,No,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,49.54,2913.83,1
3049-APLEE,Female,0,Yes,No,56,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),18.27,1124.01,1
8158-IICSP,Male,0,No,Yes,20,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,82.62,1612.58,1
3255-CTXVX,Male,0,No,No,2,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),77.36,384.33,0
2648-HDFHT,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),71.94,0,0
9445-CPYCY,Male,0,No,No,54,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Mailed check,43.36,2392.02,1
3961-NRBVC,Female,0,No,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,111.29,1944.13,1
1956-IDADA,Female,0,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),21.27,484.3,0
5493-UPTXH,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),29.29,883.7,0
2218-QAPLS,Female,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Mailed check,57.63,3057.62,0
4446-VNFFM,Female,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,57.66,1341.3,1
9754-VHBUA,Male,0,No,Yes,11,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,31.06,367.15,1
8022-AEPSD,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),118.29,7264.56,0
5642-QQLNU,Male,0,No,Yes,16,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),118.72,1841.22,1
2060-XQNUC,Male,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,96.87,1201.77,1
1699-ATUWA,Female,1,Yes,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.04,2611.41,1
4327-CRYJV,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),52.79,535.41,1
1569-CHNXR,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),108.97,2816.77,1
8455-OVWBJ,Female,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.76,987.4,1
2409-ZQHAI,Male,0,No,No,47,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),33.86,1698.66,1
8343-GJWZC,Female,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),46.47,819.96,0
2841-YXMZG,Male,1,Yes,Yes,54,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),119.86,6376.66,0
8992-DMTAH,Male,0,No,No,43,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,22.62,1034.0,0
7655-NPNLS,Female,0,No,No,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,84.15,1211.55,0
7614-OBBWV,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),100.58,3375.67,1
5146-YZVZZ,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),28.63,24.06,1
8509-QTJFO,Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.63,426.35,0
3491-EAHUL,Male,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),46.63,701.21,0
1004-GDFMT,Female,0,No,No,67,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),77.94,5196.44,1
5142-CWHTP,Female,1,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.07,1265.11,1
5465-JSQXS,Male,0,Yes,Yes,51,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.54,3530.52,1
6177-WZEZU,Female,0,No,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,37.24,305.47,1
6949-WILUA,Female,0,No,No,51,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,4864.92,0
2081-ZAOBV,Male,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),59.27,2818.91,1
1559-YHMUA,Female,0,Yes,No,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),39.25,1637.97,1
4343-GEVWC,Male,0,Yes,Yes,29,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,99.33,2885.82,0
4147-ZPSEV,Male,0,Yes,No,23,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),42.5,1145.76,0
3744-NEOQN,Female,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,70.99,1371.55,1
7617-PUGDA,Female,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.73,1593.39,1
8421-EWZJV,Female,1,No,No,66,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.66,3303.78,1
3849-TJZSZ,Male,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.66,820.02,1
5611-PXPWB,Male,0,No,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,44.08,1067.12,0
7303-TXLRC,Male,0,Yes,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),118.57,665.14,0
3427-AASKE,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,55.75,2407.59,1
6387-CAAHJ,Male,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.2,2170.9,0
2066-LMLNB,Male,0,No,No,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,118.74,3899.76,0
9945-CWQZH,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,48.6,2332.35,1
7748-ZJZBS,Female,0,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),93.66,4060.08,0
9808-GDZUR,Male,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,108.29,7501.94,1
1412-XDYUY,Female,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),53.95,3040.21,1
9867-JEIXC,Female,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,83.8,5573.01,0
2122-PDRQG,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.41,1508.36,0
3143-XWELQ,Male,0,Yes,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),58.14,2386.25,0
4766-MWYCI,Male,0,No,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),109.36,6683.05,0
6917-QQTPY,Female,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),99.74,3964.7,0
2365-MSQDL,Female,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,42.93,1361.17,0
8400-SLIGN,Female,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.89,977.1,0
3782-TSZOP,Female,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,81.11,3140.32,0
5980-ECLYT,Male,1,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.23,1577.0,1
6588-DUWPY,Male,0,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),101.09,6058.3,0
2062-MUJZG,Female,1,No,No,69,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,65.56,4464.92,0
7541-ZECWK,Female,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,58.53,3756.18,1
9010-ROLIJ,Female,0,Yes,No,26,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,43.21,1134.14,1
1953-LQFGN,Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,74.02,2052.09,1
2191-JIRZB,Female,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,101.64,2219.2,1
2540-EFSHP,Female,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),66.11,3456.75,1
2365-TQGYM,Female,0,No,No,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.91,1916.06,1
4141-SLVGJ,Female,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),74.83,358.58,0
6977-SGCMM,Male,0,No,No,1,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),51.34,87.27,1
5849-ZTHIG,Male,0,No,No,6,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,70.68,466.56,1
4072-CMYQY,Female,0,Yes,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,26.77,1634.06,1
1823-AFUFZ,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),25.59,828.35,1
4627-MMOUP,Male,0,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),92.99,432.4,1
6348-DCSTY,Male,1,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),67.84,2838.23,0
7190-IQNOA,Female,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,59.56,627.08,1
9053-CPWYK,Female,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),115.3,6756.09,1
2353-PHFLX,Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),37.66,1383.77,1
1667-UHZDZ,Male,0,Yes,No,42,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,110.39,4533.42,1
4719-ZREID,Female,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,102.95,5387.24,1
4775-VQIAU,Male,0,No,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,72.07,924.24,0
8891-MPMNC,Female,0,No,Yes,45,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),64.09,2996.19,1
4324-FRSEO,Female,0,No,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.71,1081.49,1
1009-XRMEW,Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),55.83,1160.25,1
2015-AVARO,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,73.21,2522.62,1
8449-YVQMA,Male,0,No,Yes,67,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),54.01,3626.94,1
2633-ICAUP,Female,0,No,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),111.62,7435.37,1
3000-EEFCU,Female,1,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.59,1746.0,0
8190-EUEJJ,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.78,1812.42,0
5178-QUNIN,Male,1,Yes,Yes,43,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,112.89,4883.91,1
3048-SMMDA,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.33,1051.58,0
5976-HBHGZ,Male,0,No,No,44,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),65.52,2950.53,1
1249-BVVCR,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.29,203.21,1
5363-AVLEY,Male,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.49,2596.93,1
7544-POWOE,Female,0,No,Yes,62,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),100.53,6238.03,1
7996-NBKSG,Female,0,Yes,No,3,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,33.2,28.25,1
7881-FRBRO,Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,118.61,1035.64,1
8002-SBTYF,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.61,4116.52,0
8648-XOWJS,Female,0,Yes,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.97,1924.75,1
3180-DJXQJ,Male,1,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.16,968.73,1
3832-TXEBF,Male,0,Yes,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,74.83,4296.04,0
6569-MKKPK,Male,1,Yes,No,43,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,78.02,3353.54,1
2906-OYWWP,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),63.1,1890.47,0
7238-KVPHD,Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,113.69,6918.18,1
9472-CCRZS,Male,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),50.87,1350.01,0
8570-UERJV,Female,0,Yes,No,38,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,77.11,2960.91,1
7981-AEILZ,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),24.97,730.38,1
3593-QNZMI,Male,0,Yes,No,65,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,64.65,4092.87,0
7937-YOYVO,Male,0,Yes,No,20,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),98.08,1939.67,0
7493-KPQZD,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),94.24,2393.45,0
2276-TOOXV,Female,0,Yes,No,27,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,66.74,1638.24,0
9717-ZWNXB,Male,0,No,Yes,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,105.42,2561.4,1
1364-ZNXSG,Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,114.89,8162.02,1
6122-OWNKO,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,62.28,1351.76,0
2531-MRZFC,Male,1,No,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,53.74,2522.84,1
2906-OYWEJ,Male,0,Yes,No,68,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.62,5712.67,1
2062-YQGVZ,Female,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),119.8,7964.61,0
1125-LYQMT,Male,0,No,Yes,66,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,22.07,1437.64,0
7168-DJCIM,Male,0,No,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,55.38,3620.15,1
7371-OVBOH,Male,0,No,No,15,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,68.04,1012.14,0
7891-SJIEF,Female,0,Yes,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),117.98,5014.06,1
3739-ZBXMF,Male,0,Yes,No,51,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,102.23,5277.37,1
4812-YAUVU,Female,0,No,No,65,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),48.31,3072.73,0
